club;card_year;card_month;card_day;card_weekday;card_hour;day
3;2017;1;1;7;10;0
1;2017;1;1;7;11;0
3;2017;1;1;7;19;0
1;2017;1;2;1;3;1
1;2017;1;2;1;3;1
1;2017;1;2;1;3;1
1;2017;1;2;1;3;1
1;2017;1;2;1;3;1
1;2017;1;2;1;3;1
2;2017;1;2;1;4;1
2;2017;1;2;1;4;1
2;2017;1;2;1;6;1
2;2017;1;2;1;6;1
2;2017;1;2;1;6;1
2;2017;1;2;1;6;1
2;2017;1;2;1;10;1
2;2017;1;2;1;11;1
2;2017;1;2;1;11;1
1;2017;1;2;1;12;1
1;2017;1;2;1;12;1
2;2017;1;2;1;12;1
3;2017;1;2;1;12;1
2;2017;1;2;1;12;1
2;2017;1;2;1;13;1
2;2017;1;2;1;13;1
1;2017;1;2;1;14;1
2;2017;1;2;1;14;1
3;2017;1;2;1;14;1
3;2017;1;2;1;14;1
3;2017;1;2;1;14;1
3;2017;1;2;1;14;1
3;2017;1;2;1;14;1
2;2017;1;2;1;14;1
2;2017;1;2;1;14;1
2;2017;1;2;1;16;1
2;2017;1;2;1;16;1
2;2017;1;2;1;16;1
2;2017;1;2;1;16;1
3;2017;1;2;1;18;1
3;2017;1;2;1;18;1
3;2017;1;2;1;18;1
3;2017;1;2;1;18;1
3;2017;1;2;1;18;1
2;2017;1;2;1;19;1
2;2017;1;2;1;19;1
1;2017;1;2;1;20;1
1;2017;1;2;1;20;1
1;2017;1;2;1;20;1
1;2017;1;2;1;20;1
3;2017;1;2;1;21;1
3;2017;1;2;1;22;1
3;2017;1;2;1;22;1
3;2017;1;2;1;22;1
3;2017;1;2;1;22;1
3;2017;1;3;2;1;2
1;2017;1;3;2;2;2
1;2017;1;3;2;2;2
2;2017;1;3;2;3;2
2;2017;1;3;2;4;2
2;2017;1;3;2;4;2
2;2017;1;3;2;4;2
2;2017;1;3;2;4;2
2;2017;1;3;2;4;2
2;2017;1;3;2;4;2
2;2017;1;3;2;5;2
2;2017;1;3;2;5;2
2;2017;1;3;2;5;2
2;2017;1;3;2;5;2
2;2017;1;3;2;5;2
2;2017;1;3;2;5;2
2;2017;1;3;2;6;2
2;2017;1;3;2;10;2
2;2017;1;3;2;11;2
3;2017;1;3;2;13;2
3;2017;1;3;2;13;2
3;2017;1;3;2;13;2
3;2017;1;3;2;13;2
1;2017;1;3;2;15;2
2;2017;1;3;2;4;2
3;2017;1;3;2;17;2
1;2017;1;3;2;20;2
1;2017;1;3;2;21;2
1;2017;1;3;2;21;2
1;2017;1;3;2;21;2
2;2017;1;3;2;21;2
1;2017;1;3;2;21;2
2;2017;1;3;2;21;2
2;2017;1;3;2;21;2
2;2017;1;3;2;22;2
2;2017;1;3;2;22;2
2;2017;1;3;2;22;2
2;2017;1;3;2;22;2
2;2017;1;3;2;22;2
2;2017;1;3;2;22;2
2;2017;1;3;2;22;2
2;2017;1;3;2;22;2
2;2017;1;3;2;22;2
2;2017;1;3;2;22;2
2;2017;1;3;2;22;2
2;2017;1;3;2;22;2
2;2017;1;3;2;22;2
3;2017;1;3;2;22;2
3;2017;1;3;2;22;2
3;2017;1;3;2;23;2
2;2017;1;3;2;23;2
2;2017;1;3;2;23;2
2;2017;1;3;2;23;2
2;2017;1;3;2;23;2
2;2017;1;4;3;0;3
2;2017;1;4;3;0;3
2;2017;1;4;3;0;3
2;2017;1;4;3;1;3
2;2017;1;4;3;1;3
2;2017;1;4;3;1;3
2;2017;1;4;3;1;3
2;2017;1;4;3;1;3
3;2017;1;4;3;3;3
2;2017;1;4;3;4;3
2;2017;1;4;3;4;3
1;2017;1;4;3;8;3
1;2017;1;4;3;9;3
3;2017;1;4;3;9;3
3;2017;1;4;3;9;3
3;2017;1;4;3;9;3
3;2017;1;4;3;10;3
2;2017;1;4;3;10;3
1;2017;1;4;3;11;3
2;2017;1;4;3;11;3
2;2017;1;4;3;12;3
2;2017;1;4;3;12;3
3;2017;1;4;3;12;3
1;2017;1;4;3;13;3
1;2017;1;4;3;13;3
1;2017;1;4;3;13;3
1;2017;1;4;3;13;3
3;2017;1;4;3;17;3
3;2017;1;4;3;19;3
3;2017;1;4;3;19;3
3;2017;1;4;3;19;3
1;2017;1;4;3;19;3
1;2017;1;4;3;19;3
1;2017;1;4;3;19;3
1;2017;1;4;3;20;3
1;2017;1;4;3;20;3
1;2017;1;4;3;20;3
1;2017;1;4;3;20;3
1;2017;1;4;3;21;3
2;2017;1;4;3;21;3
3;2017;1;4;3;21;3
1;2017;1;4;3;22;3
1;2017;1;4;3;22;3
1;2017;1;4;3;22;3
3;2017;1;4;3;22;3
3;2017;1;4;3;23;3
3;2017;1;4;3;23;3
2;2017;1;5;4;1;4
2;2017;1;4;3;20;3
2;2017;1;5;4;7;4
2;2017;1;5;4;11;4
2;2017;1;5;4;11;4
3;2017;1;5;4;11;4
3;2017;1;5;4;11;4
2;2017;1;5;4;11;4
3;2017;1;5;4;11;4
