CafeID;Ttime;Sday;Smonth;Syear;Day
2;77;1;1;2017;0
2;76;1;1;2017;0
3;351;1;1;2017;0
2;150;1;1;2017;0
2;197;1;1;2017;0
1;95;1;1;2017;0
2;60;1;1;2017;0
2;60;1;1;2017;0
2;195;1;1;2017;0
2;197;1;1;2017;0
2;103;1;1;2017;0
2;76;1;1;2017;0
2;198;1;1;2017;0
2;85;1;1;2017;0
2;91;1;1;2017;0
2;89;1;1;2017;0
2;90;1;1;2017;0
2;87;1;1;2017;0
2;88;1;1;2017;0
1;14;1;1;2017;0
1;14;1;1;2017;0
2;55;1;1;2017;0
3;112;1;1;2017;0
3;199;1;1;2017;0
3;198;1;1;2017;0
1;149;1;1;2017;0
1;149;1;1;2017;0
2;109;1;1;2017;0
2;110;1;1;2017;0
2;110;1;1;2017;0
2;110;1;1;2017;0
2;58;1;1;2017;0
1;91;1;1;2017;0
2;113;1;1;2017;0
2;112;1;1;2017;0
1;250;2;1;2017;1
2;72;2;1;2017;1
2;72;2;1;2017;1
2;72;2;1;2017;1
2;284;2;1;2017;1
2;76;2;1;2017;1
1;194;2;1;2017;1
1;195;2;1;2017;1
1;193;2;1;2017;1
1;155;2;1;2017;1
3;161;2;1;2017;1
3;101;2;1;2017;1
3;101;2;1;2017;1
1;108;2;1;2017;1
1;349;2;1;2017;1
1;11;2;1;2017;1
3;64;2;1;2017;1
3;130;2;1;2017;1
1;35;2;1;2017;1
1;35;2;1;2017;1
1;35;2;1;2017;1
2;131;2;1;2017;1
2;131;2;1;2017;1
3;69;2;1;2017;1
2;65;2;1;2017;1
3;131;2;1;2017;1
2;24;2;1;2017;1
2;123;2;1;2017;1
2;157;2;1;2017;1
2;133;2;1;2017;1
2;99;2;1;2017;1
2;43;2;1;2017;1
2;116;2;1;2017;1
2;120;2;1;2017;1
1;86;2;1;2017;1
2;68;2;1;2017;1
2;251;2;1;2017;1
2;242;2;1;2017;1
2;242;2;1;2017;1
2;169;2;1;2017;1
2;179;2;1;2017;1
