client_id;record_id;first_rec;sessions;length;rejects;income;trans;conversion;pc;mob;pad;organic;paid;referal;click;compare;cart
1;1;1;163;342;16,56;73156,2;2;49,08;1;0;0;0;0;0;0;0;0
2;23635;1;1;252;0;0;0;100;0;0;0;0;1;0;0;0;0
2;29375;0;1;252;0;0;0;100;1;0;0;0;0;0;0;0;0
3;16618;1;1;50;0;0;0;100;0;0;0;0;0;0;1;0;0
4;23066;1;1;57;0;0;0;0;0;0;0;0;1;0;0;0;0
4;29138;0;1;57;0;0;0;0;1;0;0;0;0;0;0;0;0
5;23298;1;1;106;0;0;0;0;0;0;0;0;1;0;0;0;0
5;29234;0;1;106;0;0;0;0;1;0;0;0;0;0;0;0;0
6;7763;1;2;72;0;0;0;0;0;1;0;0;0;0;0;0;0
7;5228;1;2;0;100;0;0;0;0;1;0;0;0;0;0;0;0
7;11479;0;2;0;100;0;0;0;0;0;0;0;1;0;0;0;0
8;5477;1;2;10;50;0;0;0;0;1;0;0;0;0;0;0;0
8;11919;0;2;10;50;0;0;0;0;0;0;0;1;0;0;0;0
9;5782;1;2;5;0;0;0;0;0;1;0;0;0;0;0;0;0
9;12452;0;2;5;0;0;0;0;0;0;0;0;1;0;0;0;0
10;3849;1;5;10;60;0;0;0;0;1;0;0;0;0;0;0;0
10;9077;0;5;10;60;0;0;0;0;0;0;0;1;0;0;0;0
11;2317;1;2;462;50;0;0;50;1;0;0;0;0;0;0;0;0
11;13066;0;2;462;50;0;0;50;0;0;0;0;1;0;0;0;0
12;2711;1;2;37;50;0;0;0;1;0;0;0;0;0;0;0;0
12;13907;0;2;37;50;0;0;0;0;0;0;0;1;0;0;0;0
13;6691;1;2;148;50;0;0;50;0;1;0;0;0;0;0;0;0
13;14011;0;2;148;50;0;0;50;0;0;0;0;1;0;0;0;0
14;6727;1;2;841;0;0;0;50;0;1;0;0;0;0;0;0;0
14;14062;0;2;841;0;0;0;50;0;0;0;0;1;0;0;0;0
15;4705;1;3;1198;66,67;0;0;33,33;0;1;0;0;0;0;0;0;0
15;10559;0;3;1198;66,67;0;0;33,33;0;0;0;0;1;0;0;0;0
16;4712;1;3;10;33,33;0;0;0;0;1;0;0;0;0;0;0;0
16;10575;0;3;10;33,33;0;0;0;0;0;0;0;1;0;0;0;0
17;6823;1;2;0;100;0;0;0;0;1;0;0;0;0;0;0;0
17;14221;0;2;0;100;0;0;0;0;0;0;0;1;0;0;0;0
18;6864;1;2;127;50;0;0;50;0;1;0;0;0;0;0;0;0
18;14281;0;2;127;50;0;0;50;0;0;0;0;1;0;0;0;0
19;2885;1;2;118;0;0;0;50;1;0;0;0;0;0;0;0;0
